151
0.00	0.0
0.04	0.1
0.08	0.2
0.12	0.4
0.16	0.5
0.20	0.6
0.24	0.7
0.28	0.8
0.32	0.9
0.36	1.0
0.40	1.1
0.44	1.2
0.48	1.3
0.52	1.4
0.56	1.5
0.60	1.6
0.64	1.7
0.68	1.8
0.72	1.9
0.76	2.0
0.80	2.1
0.84	2.2
0.88	2.3
0.92	2.3
0.96	2.4
1.00	2.5
1.04	2.6
1.08	2.7
1.12	2.7
1.16	2.8
1.20	2.9
1.24	3.0
1.28	3.0
1.32	3.1
1.36	3.2
1.40	3.2
1.44	3.3
1.48	3.3
1.52	3.4
1.56	3.5
1.60	3.5
1.64	3.6
1.68	3.6
1.72	3.7
1.76	3.7
1.80	3.8
1.84	3.8
1.88	3.9
1.92	3.9
1.96	4.0
2.00	4.0
2.04	4.0
2.08	4.1
2.12	4.1
2.16	4.1
2.20	4.2
2.24	4.2
2.28	4.2
2.32	4.3
2.36	4.3
2.40	4.3
2.44	4.3
2.48	4.4
2.52	4.4
2.56	4.4
2.60	4.4
2.64	4.4
2.68	4.4
2.72	4.5
2.76	4.5
2.80	4.5
2.84	4.5
2.88	4.5
2.92	4.5
2.96	4.5
3.00	4.5
3.04	4.5
3.08	4.5
3.12	4.5
3.16	4.5
3.20	4.5
3.24	4.5
3.28	4.5
3.32	4.4
3.36	4.4
3.40	4.4
3.44	4.4
3.48	4.4
3.52	4.4
3.56	4.3
3.60	4.3
3.64	4.3
3.68	4.3
3.72	4.2
3.76	4.2
3.80	4.2
3.84	4.1
3.88	4.1
3.92	4.1
3.96	4.0
4.00	4.0
4.04	4.0
4.08	3.9
4.12	3.9
4.16	3.8
4.20	3.8
4.24	3.7
4.28	3.7
4.32	3.6
4.36	3.6
4.40	3.5
4.44	3.5
4.48	3.4
4.52	3.3
4.56	3.3
4.60	3.2
4.64	3.2
4.68	3.1
4.72	3.0
4.76	3.0
4.80	2.9
4.84	2.8
4.88	2.7
4.92	2.7
4.96	2.6
5.00	2.5
5.04	2.4
5.08	2.3
5.12	2.3
5.16	2.2
5.20	2.1
5.24	2.0
5.28	1.9
5.32	1.8
5.36	1.7
5.40	1.6
5.44	1.5
5.48	1.4
5.52	1.3
5.56	1.2
5.60	1.1
5.64	1.0
5.68	0.9
5.72	0.8
5.76	0.7
5.80	0.6
5.84	0.5
5.88	0.4
5.92	0.2
5.96	0.1
6.00	0.0
