701
0.00	-0.0
0.01	0.5
0.02	1.1
0.03	1.6
0.04	2.1
0.05	2.6
0.06	3.2
0.07	3.7
0.08	4.2
0.09	4.7
0.10	5.3
0.11	5.8
0.12	6.3
0.13	6.8
0.14	7.3
0.15	7.8
0.16	8.3
0.17	8.8
0.18	9.3
0.19	9.9
0.20	10.4
0.21	10.9
0.22	11.4
0.23	11.9
0.24	12.4
0.25	12.9
0.26	13.3
0.27	13.8
0.28	14.3
0.29	14.8
0.30	15.3
0.31	15.8
0.32	16.3
0.33	16.8
0.34	17.2
0.35	17.7
0.36	18.2
0.37	18.7
0.38	19.2
0.39	19.6
0.40	20.1
0.41	20.6
0.42	21.1
0.43	21.5
0.44	22.0
0.45	22.5
0.46	22.9
0.47	23.4
0.48	23.8
0.49	24.3
0.50	24.8
0.51	25.2
0.52	25.7
0.53	26.1
0.54	26.6
0.55	27.0
0.56	27.5
0.57	27.9
0.58	28.4
0.59	28.8
0.60	29.3
0.61	29.7
0.62	30.1
0.63	30.6
0.64	31.0
0.65	31.5
0.66	31.9
0.67	32.3
0.68	32.8
0.69	33.2
0.70	33.6
0.71	34.0
0.72	34.5
0.73	34.9
0.74	35.3
0.75	35.7
0.76	36.2
0.77	36.6
0.78	37.0
0.79	37.4
0.80	37.8
0.81	38.2
0.82	38.6
0.83	39.1
0.84	39.5
0.85	39.9
0.86	40.3
0.87	40.7
0.88	41.1
0.89	41.5
0.90	41.9
0.91	42.3
0.92	42.7
0.93	43.1
0.94	43.5
0.95	43.8
0.96	44.2
0.97	44.6
0.98	45.0
0.99	45.4
1.00	45.8
1.01	46.2
1.02	46.5
1.03	46.9
1.04	47.3
1.05	47.7
1.06	48.0
1.07	48.4
1.08	48.8
1.09	49.2
1.10	49.5
1.11	49.9
1.12	50.3
1.13	50.6
1.14	51.0
1.15	51.3
1.16	51.7
1.17	52.1
1.18	52.4
1.19	52.8
1.20	53.1
1.21	53.5
1.22	53.8
1.23	54.2
1.24	54.5
1.25	54.9
1.26	55.2
1.27	55.6
1.28	55.9
1.29	56.2
1.30	56.6
1.31	56.9
1.32	57.3
1.33	57.6
1.34	57.9
1.35	58.3
1.36	58.6
1.37	58.9
1.38	59.2
1.39	59.6
1.40	59.9
1.41	60.2
1.42	60.5
1.43	60.8
1.44	61.2
1.45	61.5
1.46	61.8
1.47	62.1
1.48	62.4
1.49	62.7
1.50	63.0
1.51	63.3
1.52	63.7
1.53	64.0
1.54	64.3
1.55	64.6
1.56	64.9
1.57	65.2
1.58	65.5
1.59	65.7
1.60	66.0
1.61	66.3
1.62	66.6
1.63	66.9
1.64	67.2
1.65	67.5
1.66	67.8
1.67	68.1
1.68	68.3
1.69	68.6
1.70	68.9
1.71	69.2
1.72	69.4
1.73	69.7
1.74	70.0
1.75	70.3
1.76	70.5
1.77	70.8
1.78	71.1
1.79	71.3
1.80	71.6
1.81	71.9
1.82	72.1
1.83	72.4
1.84	72.6
1.85	72.9
1.86	73.1
1.87	73.4
1.88	73.7
1.89	73.9
1.90	74.1
1.91	74.4
1.92	74.6
1.93	74.9
1.94	75.1
1.95	75.4
1.96	75.6
1.97	75.8
1.98	76.1
1.99	76.3
2.00	76.6
2.02	75.3
2.04	74.1
2.06	72.8
2.08	71.6
2.10	70.3
2.12	69.0
2.14	67.8
2.16	66.5
2.18	65.2
2.20	63.9
2.22	62.6
2.24	61.3
2.26	60.0
2.28	58.7
2.30	57.4
2.32	56.0
2.34	54.7
2.36	53.4
2.38	52.0
2.40	50.7
2.42	49.3
2.44	47.9
2.46	46.6
2.48	45.2
2.50	43.8
2.52	42.4
2.54	41.0
2.56	39.6
2.58	38.2
2.60	36.8
2.62	35.4
2.64	34.0
2.66	32.5
2.68	31.1
2.70	29.7
2.72	28.2
2.74	26.8
2.76	25.3
2.78	23.8
2.80	22.4
2.82	20.9
2.84	19.4
2.86	17.9
2.88	16.4
2.90	14.9
2.92	13.4
2.94	11.9
2.96	10.4
2.98	8.9
3.00	7.3
3.02	5.8
3.04	4.2
3.06	2.7
3.08	1.1
3.10	-0.4
3.12	-2.0
3.14	-3.6
3.16	-5.1
3.18	-6.7
3.20	-8.3
3.22	-9.9
3.24	-11.5
3.26	-13.1
3.28	-14.7
3.30	-16.4
3.32	-18.0
3.34	-19.6
3.36	-21.3
3.38	-22.9
3.40	-24.6
3.42	-26.2
3.44	-27.9
3.46	-29.6
3.48	-31.2
3.50	-32.9
3.52	-34.6
3.54	-36.3
3.56	-38.0
3.58	-39.7
3.60	-41.4
3.62	-43.1
3.64	-44.8
3.66	-46.6
3.68	-48.3
3.70	-50.1
3.72	-51.8
3.74	-53.6
3.76	-55.3
3.78	-57.1
3.80	-58.9
3.82	-60.6
3.84	-62.4
3.86	-64.2
3.88	-66.0
3.90	-67.8
3.92	-69.6
3.94	-71.4
3.96	-73.2
3.98	-75.1
4.00	-76.9
4.02	-78.7
4.04	-80.6
4.06	-82.4
4.08	-84.3
4.10	-86.1
4.12	-88.0
4.14	-89.9
4.16	-91.8
4.18	-93.6
4.20	-95.5
4.22	-97.4
4.24	-99.3
4.26	-101.3
4.28	-103.2
4.30	-105.1
4.32	-107.0
4.34	-108.9
4.36	-110.9
4.38	-112.8
4.40	-114.8
4.42	-116.7
4.44	-118.7
4.46	-120.7
4.48	-122.7
4.50	-124.6
4.52	-126.6
4.54	-128.6
4.56	-130.6
4.58	-132.6
4.60	-134.6
4.62	-136.6
4.64	-138.7
4.66	-140.7
4.68	-142.7
4.70	-144.8
4.72	-146.8
4.74	-148.9
4.76	-150.9
4.78	-153.0
4.80	-155.1
4.82	-157.2
4.84	-159.2
4.86	-161.3
4.88	-163.4
4.90	-165.5
4.92	-167.6
4.94	-169.7
4.96	-171.9
4.98	-174.0
5.00	-176.1
5.02	-173.5
5.04	-170.8
5.06	-168.1
5.08	-165.5
5.10	-162.9
5.12	-160.2
5.14	-157.6
5.16	-155.0
5.18	-152.4
5.20	-149.8
5.22	-147.2
5.24	-144.7
5.26	-142.1
5.28	-139.6
5.30	-137.0
5.32	-134.5
5.34	-131.9
5.36	-129.4
5.38	-126.9
5.40	-124.4
5.42	-121.9
5.44	-119.4
5.46	-117.0
5.48	-114.5
5.50	-112.0
5.52	-109.6
5.54	-107.2
5.56	-104.7
5.58	-102.3
5.60	-99.9
5.62	-97.5
5.64	-95.1
5.66	-92.7
5.68	-90.3
5.70	-87.9
5.72	-85.6
5.74	-83.2
5.76	-80.9
5.78	-78.6
5.80	-76.2
5.82	-73.9
5.84	-71.6
5.86	-69.3
5.88	-67.0
5.90	-64.7
5.92	-62.5
5.94	-60.2
5.96	-57.9
5.98	-55.7
6.00	-53.5
6.02	-51.2
6.04	-49.0
6.06	-46.8
6.08	-44.6
6.10	-42.4
6.12	-40.2
6.14	-38.0
6.16	-35.9
6.18	-33.7
6.20	-31.6
6.22	-29.4
6.24	-27.3
6.26	-25.2
6.28	-23.1
6.30	-21.0
6.32	-18.9
6.34	-16.8
6.36	-14.7
6.38	-12.6
6.40	-10.6
6.42	-8.5
6.44	-6.5
6.46	-4.4
6.48	-2.4
6.50	-0.4
6.52	1.6
6.54	3.6
6.56	5.6
6.58	7.6
6.60	9.6
6.62	11.5
6.64	13.5
6.66	15.4
6.68	17.4
6.70	19.3
6.72	21.2
6.74	23.1
6.76	25.0
6.78	26.9
6.80	28.8
6.82	30.7
6.84	32.6
6.86	34.4
6.88	36.3
6.90	38.1
6.92	40.0
6.94	41.8
6.96	43.6
6.98	45.4
7.00	47.2
7.02	49.0
7.04	50.8
7.06	52.5
7.08	54.3
7.10	56.1
7.12	57.8
7.14	59.5
7.16	61.3
7.18	63.0
7.20	64.7
7.22	66.4
7.24	68.1
7.26	69.8
7.28	71.4
7.30	73.1
7.32	74.8
7.34	76.4
7.36	78.1
7.38	79.7
7.40	81.3
7.42	82.9
7.44	84.5
7.46	86.1
7.48	87.7
7.50	89.3
7.52	90.8
7.54	92.4
7.56	94.0
7.58	95.5
7.60	97.0
7.62	98.6
7.64	100.1
7.66	101.6
7.68	103.1
7.70	104.6
7.72	106.1
7.74	107.5
7.76	109.0
7.78	110.4
7.80	111.9
7.82	113.3
7.84	114.8
7.86	116.2
7.88	117.6
7.90	119.0
7.92	120.4
7.94	121.8
7.96	123.1
7.98	124.5
8.00	125.9
8.02	127.2
8.04	128.5
8.06	129.9
8.08	131.2
8.10	132.5
8.12	133.8
8.14	135.1
8.16	136.4
8.18	137.7
8.20	139.0
8.22	140.2
8.24	141.5
8.26	142.7
8.28	143.9
8.30	145.2
8.32	146.4
8.34	147.6
8.36	148.8
8.38	150.0
8.40	151.2
8.42	152.3
8.44	153.5
8.46	154.7
8.48	155.8
8.50	156.9
8.52	156.8
8.54	156.7
8.56	156.5
8.58	156.4
8.60	156.2
8.62	156.0
8.64	155.8
8.66	155.6
8.68	155.4
8.70	155.2
8.72	155.0
8.74	154.8
8.76	154.5
8.78	154.3
8.80	154.0
